D, mkm;m;X, mm;sigma X;Dc, mm;sigma Dc;mkm;
990;1;142;1;0,011764732;8,47461E-05;11,76473239;10
990;2;286;1;0,011682462;4,4518E-05;11,68246154;10
940;1;28;1;0,059664;0,002132774;59,664;60
940;2;54;1;0,061873778;0,001149639;61,87377778;60
900;1;17;1;0,098270118;0,005782512;98,27011765;100
900;2;33;1;0,101248;0,003071954;101,248;100
800;1;8;1;0,208824;0,026104918;208,824;200
800;2;17;1;0,196540235;0,011565025;196,5402353;200
800;3;25;1;0,20047104;0,008024592;200,47104;200
700;1;6;1;0,278432;0,046407251;278,432;300
700;2;11;1;0,303744;0,027616926;303,744;300
600;1;4;1;0,417648;0,104413918;417,648;400
600;2;9;1;0,371242667;0,04125302;371,2426667;400
420;1;3;1;0,556864;0,185623251;556,864;580
420;2;6;1;0,556864;0,092814502;556,864;580
